id_station,nom_station,longitude,latitude,altitude_metres,precipitations_mm,qualite_donnee_rr,date,code_departement
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-23,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-24,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-25,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-26,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-27,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-28,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-29,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-09-30,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-10-01,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-10-02,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-10-03,01
1004003,AMBERIEU,5.348333,45.955,249,2.0,1.0,1877-10-04,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-10-05,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-10-06,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-10-07,01
1004003,AMBERIEU,5.348333,45.955,249,7.0,1.0,1877-10-08,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-10-09,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-10-10,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-10-11,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-10-12,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-10-13,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-10-14,01
1004003,AMBERIEU,5.348333,45.955,249,12.0,1.0,1877-10-15,01
1004003,AMBERIEU,5.348333,45.955,249,6.0,1.0,1877-10-16,01
1004003,AMBERIEU,5.348333,45.955,249,3.0,1.0,1877-10-17,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-10-18,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-10-19,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-10-20,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-10-21,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-10-22,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-10-23,01
1004003,AMBERIEU,5.348333,45.955,249,55.0,1.0,1877-10-24,01
1004003,AMBERIEU,5.348333,45.955,249,3.0,1.0,1877-10-25,01
1004003,AMBERIEU,5.348333,45.955,249,4.0,1.0,1877-10-26,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-10-27,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-10-28,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-10-29,01
1004003,AMBERIEU,5.348333,45.955,249,24.0,1.0,1877-10-30,01
1004003,AMBERIEU,5.348333,45.955,249,1.0,1.0,1877-10-31,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-11-01,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-11-02,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-11-03,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-11-04,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-11-05,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-11-06,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-11-07,01
1004003,AMBERIEU,5.348333,45.955,249,8.0,1.0,1877-11-08,01
1004003,AMBERIEU,5.348333,45.955,249,6.0,1.0,1877-11-09,01
1004003,AMBERIEU,5.348333,45.955,249,27.0,1.0,1877-11-10,01
1004003,AMBERIEU,5.348333,45.955,249,37.0,1.0,1877-11-11,01
1004003,AMBERIEU,5.348333,45.955,249,2.0,1.0,1877-11-12,01
1004003,AMBERIEU,5.348333,45.955,249,32.0,1.0,1877-11-13,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-11-14,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-11-15,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-11-16,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-11-17,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-11-18,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-11-19,01
1004003,AMBERIEU,5.348333,45.955,249,22.0,1.0,1877-11-20,01
1004003,AMBERIEU,5.348333,45.955,249,6.0,1.0,1877-11-21,01
1004003,AMBERIEU,5.348333,45.955,249,4.0,1.0,1877-11-22,01
1004003,AMBERIEU,5.348333,45.955,249,12.0,1.0,1877-11-23,01
1004003,AMBERIEU,5.348333,45.955,249,2.0,1.0,1877-11-24,01
1004003,AMBERIEU,5.348333,45.955,249,4.0,1.0,1877-11-25,01
1004003,AMBERIEU,5.348333,45.955,249,2.0,1.0,1877-11-26,01
1004003,AMBERIEU,5.348333,45.955,249,18.0,1.0,1877-11-27,01
1004003,AMBERIEU,5.348333,45.955,249,13.0,1.0,1877-11-28,01
1004003,AMBERIEU,5.348333,45.955,249,6.0,1.0,1877-11-29,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-11-30,01
1004003,AMBERIEU,5.348333,45.955,249,8.0,1.0,1877-12-01,01
1004003,AMBERIEU,5.348333,45.955,249,9.0,1.0,1877-12-02,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-12-03,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-12-04,01
1004003,AMBERIEU,5.348333,45.955,249,1.0,1.0,1877-12-05,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-12-06,01
1004003,AMBERIEU,5.348333,45.955,249,2.0,1.0,1877-12-07,01
